Order_ID,Order_Date,Customer_ID,Customer_Name,Product,Category,Quantity,Revenue,Month,Year
3001,2024-01-06,C201,Arun,USB Cable,Electronics,1,300,2024-01,2024
3002,2024-01-28,C202,Pooja,Notebook,Education,2,400,2024-01,2024
3003,2024-02-10,C203,Manish,Pen,Education,5,250,2024-02,2024
3004,2024-02-25,C204,Kavita,Mouse,Electronics,1,600,2024-02,2024
3005,2024-03-08,C205,Rohit,Charger,Electronics,1,700,2024-03,2024
3006,2024-03-21,C206,Sunita,Water Bottle,Home,1,350,2024-03,2024
3007,2024-04-05,C207,Ajay,Keychain,Accessories,2,300,2024-04,2024
3008,2024-04-18,C208,Meena,Notebook,Education,1,200,2024-04,2024
3009,2024-05-02,C209,Deepak,Phone Cover,Accessories,1,500,2024-05,2024
3010,2024-05-19,C210,Nisha,USB Cable,Electronics,1,300,2024-05,2024
